Article,Expiry Date,Qty,Value,Inventory Report Date
FUR-BO-10001798,5/14/2026,9,45.9,5/31/2024
FUR-BO-10001798,2/24/2027,3,15.3,5/31/2024
FUR-BO-10001798,3/22/2027,5,25.5,5/31/2024
FUR-CH-10000454,5/24/2026,7,52.92,5/31/2024
FUR-CH-10000454,5/17/2027,8,60.48,5/31/2024
FUR-CH-10000454,5/17/2025,3,22.68,5/31/2024
FUR-CH-10000454,2/23/2024,1,7.56,5/31/2024
OFF-LA-10000240,5/16/2024,9,54.09,5/31/2024
FUR-TA-10000577,5/26/2026,3,23.19,5/31/2024
FUR-TA-10000577,5/26/2025,5,38.65,5/31/2024
OFF-ST-10000760,5/25/2027,4,23.3,5/31/2024
OFF-ST-10000760,1/29/2026,0,0,5/31/2024
FUR-FU-10001487,1/12/2026,1,4.15,5/31/2024
OFF-AR-10002833,1/29/2027,0,0,5/31/2024
OFF-AR-10002833,6/20/2025,0,0,5/31/2024
TEC-PH-10002275,11/11/2027,10,25.29,5/31/2024
TEC-PH-10002275,1/29/2027,0,0,5/31/2024
OFF-BI-10003910,12/6/2024,11,31.27,5/31/2024
OFF-BI-10003910,2/15/2026,2,5.68,5/31/2024
OFF-AP-10002892,12/28/2024,4,40.22,5/31/2024
FUR-TA-10001539,8/22/2025,6,17.25,5/31/2024
FUR-TA-10001539,10/4/2024,18,51.75,5/31/2024
FUR-TA-10001539,10/4/2026,2,5.75,5/31/2024
FUR-TA-10001539,1/29/2026,0,0,5/31/2024
TEC-PH-10002033,5/10/2027,0,0,5/31/2024
OFF-PA-10002365,6/23/2024,19,54.15,5/31/2024
OFF-BI-10003656,6/6/2025,10,28.5,5/31/2024
OFF-AP-10002311,12/27/2026,4,15.88,5/31/2024
OFF-AP-10002311,4/14/2026,18,71.47,5/31/2024
OFF-AP-10002311,12/27/2027,2,7.94,5/31/2024
OFF-AP-10002311,1/29/2024,0,0,5/31/2024
OFF-BI-10000756,10/30/2024,1,3.99,5/31/2024
OFF-BI-10000756,10/2/2024,3,11.97,5/31/2024
OFF-BI-10000756,2/10/2027,22,87.78,5/31/2024
OFF-BI-10000756,11/23/2026,2,7.98,5/31/2024
OFF-ST-10004186,6/11/2026,12,47.62,5/31/2024
OFF-ST-10004186,5/8/2025,3,11.9,5/31/2024
OFF-ST-10004186,1/11/2027,1,3.97,5/31/2024
OFF-ST-10000107,11/6/2025,1,3.97,5/31/2024
OFF-ST-10000107,2/5/2024,13,51.67,5/31/2024
OFF-ST-10000107,2/6/2025,6,23.85,5/31/2024
OFF-ST-10000107,7/6/2026,0,0,5/31/2024
OFF-AR-10003056,1/18/2024,0,0,5/31/2024
